unique_id,ExtraDay
P39_M_VR,0
T46B_L_PO,0
T46B_S_VR,0
V51_S_VR,0
X48A_S_VR,0
Y21C_S_VR,0
C43_S_VR,0
N32B_S_VR,0
X44_S_VR,0
F25A_S_VR,0
X79_S_VR,1
B81B_M_VR,0
N16A_M_VR,1
B82V_L_PO,1
S06_M_VR,0
B82V_M_PO,1
B63V_M_PO,0
N45A_M_VR,0
L05C_S_VR,0
B63_M_VR,0
X87C_S_VR,1
B63_S_VR,0
A70A_L_PO,0
Y62B_L_VR,0
B89_L_PO,0
R24A_L_PO,0
W22DV_L_PO,0
X56A_L_VR,0
X57_L_VR,0
A65E_L_PO,0
T58C_L_VR,0
W70V_S_PO,0
C61V_S_PO,0
A55B_L_PO,0
X59_L_VR,0
A21_L_VR,0
D44B_L_VR,0
A56A_L_PO,0
C46_L_VR,0
W21CM_S_PO,0
B70V_S_PO,0
P41CM_M_VR,1
Y21BM_S_PO,0
W22AM_S_PO,0
B54V_S_PO,0
W21AM_S_PO,0
B86V1_L_PO,0
A73AM_S_PO,0
W21BM_S_PO,0
W22CM_S_PO,0
B72V_M_PO,0
W22BM_S_PO,0
B72V_L_PO,0
P41BM_M_VR,1
P41AM_M_VR,1
B78V_M_PO,0
L120_S_VR,0
N16A_L_VR,0
I15_S_VR,0
B83B_S_VR,0
C23B_L_PO,0
R18B_S_VR,0
D80B_L_PO,0
D87V_S_PO,0
K67V_M_PO,0
V21_S_VR,0
X87B_L_VR,0
A52B_L_PO,0
R31B_L_VR,0
D74B_L_PO,0
B67V_L_PO,0
A86A_L_PO,0
S22V_S_PO,0
D57_S_VR,0
N41A_L_VR,0
R18_S_VR,0
D41_S_VR,0
D65B_L_PO,0
X89A_L_VR,0
D53_L_VR,0
A02B_L_VR,0
M39_M_VR,0
B83V_S_PO,0
W21BV_S_PO,0
C44B_L_PO,0
